Question	Answer	Difficulty
博丽灵梦的职业是什么？	巫女	Easy
博丽灵梦平时的住所是什么？	博丽神社	Easy
博丽灵梦的衣服是什么颜色的？	红白	Easy
雾雨魔理沙拥有什么样的能力？	使用魔法程度的能力	Easy
雾雨魔理沙最常用的武器是什么？	八卦炉	Easy
帕秋莉在一般在红魔馆的什么位置？	大图书馆	Easy
谁引发了红雾异变？	蕾米莉亚	Easy
蕾米莉亚的妹妹是谁？	芙兰朵露	Easy
十六夜咲夜在红魔馆的职位是什么？	女仆长	Easy
爱丽丝掌握操纵什么的魔法？	人偶	Easy
魂魄妖梦在白玉楼的主要职务是什么？	庭师	Easy
魂魄妖梦的种族是什么？	半人半灵	Easy
西行寺幽幽子的能力是什么？	操纵死亡程度的能力/统制幽灵	Easy
八云蓝是八云紫的什么？	式神	Easy
八云紫的能力可以直接创造什么？	隙间	Easy
永夜抄中发生的异变是什么？	永夜异变/伪月异变 Easy
铃仙在永夜抄中担任哪一面的BOSS？	五面BOSS	Easy
蓬莱山辉夜的的发色是什么？	黑色	Easy
藤原妹红在生命上有什么特征？	不死	Easy
射命丸文的种族是什么？	天狗	Easy
风神录中新登场的巫女是谁？	东风谷早苗	Easy
洩矢诹访子所在的神社叫什么？	守矢神社	Easy
古明地觉居住在哪座建筑物中？	地灵殿	Easy
灵乌路空使用的能源是什么？	核能	Easy
古明地恋拥有操纵什么的能力？	无意识/潜意识	Easy
博丽灵梦在解决异变之后一般都会做什么？	举行宴会	Normal
幻想乡依靠什么设施维持稳定？	博丽神社/幻想大结界	Normal
露米娅在操纵黑暗的时候有什么缺点？	自己也看不见	Normal
红魔馆位于哪个湖泊的湖心？	雾之湖	Normal
琪露诺喜欢哪种恶作剧？	冻青蛙	Normal
一般情况下，连接幻想乡和外界的入口是什么？	博丽神社	Normal
春雪异变的原因是西行寺幽幽子想要做什么？	让西行妖开花	Normal
八云蓝的计算能力如何？	有和超级计算机媲美的能力	Normal
八云紫随身会携带什么？	大阳伞	Normal
东方永夜抄中，魂魄妖梦是不是自机？	是	Normal
铃仙在月战中的表现如何？	逃兵	Normal
蓬莱山辉夜在永夜抄中的称号是什么？	永远与须臾的罪人	Normal
小野塚小町的直属上级是谁？	四季映姬	Normal
在东方文花帖中，射命丸文对弹幕进行了什么？	拍摄取材	Normal
伊吹萃香的能力是什么？	操纵疏密程度的能力	Normal
伊吹萃香所携带的酒瓢叫什么名字？	伊吹瓢	Normal
绯想天中，博丽神社最初因为什么原因倒塌？	地震	Normal
比那名居天子的帽子上有什么特别的东西？	桃	Normal
河城荷取对金钱的态度如何？	贪财	Normal
东风谷早苗是从何处来到幻想乡的？	外界/日本	Normal
洩矢诹访子喜欢哪种动物？	青蛙	Normal
古明地觉能不能对古明地恋进行读心？	不能	Normal
火焰猫燐的种族是什么？	火车	Normal
寄宿于灵乌路空体内的神明是什么？	八咫乌	Normal
古明地恋为什么闭上了第三只眼？	害怕因为读心被厌恶	Normal
射命丸文创作的两件报刊分别是什么？	《文文新闻。》和《文文春新报》	Hard
守矢神社的巫女的哪位祖先在风神录中登场了？	洩矢诹访子	Hard
芙兰朵露破坏物体的原理是什么？	将“目”移动到自己的手中，并将手中的“目”破坏	Hard
在地灵殿的剧情中，阿燐为什么要将怨灵送至地上？	吸引自机对地底的异变的注意	Hard
花映塚中，花之异变是因为什么原因引发的？	幽灵的数量过多导致三途川的船渡过载只能寄宿在花中	Hard
风神录中，神奈子除了是风神之外还是哪种神？	蛇神/风雨之神/农业之神	Hard
芙兰朵露除了是吸血鬼之外还是什么？	魔法少女	Hard
伊吹萃香如果攻击妖怪之山，会发生什么？	妖怪之山会被打碎	Hard
